date,state,positiveIncrease,negativeIncrease,hospitalizedCurrently,hospitalizedIncrease,deathIncrease
10/25/2020,AK,529,6320,58,0,0
10/25/2020,AL,1079,5863,922,0,0
10/25/2020,AR,797,7315,618,11,15
10/25/2020,AS,0,0,,0,0
10/25/2020,AZ,1391,11512,828,43,5
10/25/2020,CA,5219,173487,2969,0,34
10/25/2020,CO,1828,11426,599,41,0
10/25/2020,CT,0,0,233,0,0
10/25/2020,DC,61,4618,95,0,0
10/25/2020,DE,114,1951,103,0,1
10/25/2020,FL,2385,12277,2219,82,12
10/25/2020,GA,1318,17604,1668,22,1
10/25/2020,GU,41,213,77,0,0
10/25/2020,HI,89,0,64,8,3
10/25/2020,IA,1143,2799,541,0,3
10/25/2020,ID,1021,1688,259,22,10
10/25/2020,IL,4062,68035,2605,0,24
10/25/2020,IN,2153,8984,1666,140,12
10/25/2020,KS,0,0,403,0,0
10/25/2020,KY,1462,0,840,0,3
10/25/2020,LA,972,25297,596,0,17
10/25/2020,MA,1077,15923,538,16,25
10/25/2020,MD,792,11210,446,52,5
10/25/2020,ME,64,0,8,2,0
10/25/2020,MI,0,0,1182,0,0
10/25/2020,MN,1680,24938,584,67,21
10/25/2020,MO,2043,6782,1404,0,4
10/25/2020,MP,0,0,,0,0
10/25/2020,MS,0,0,683,0,0
10/25/2020,MT,738,837,357,49,3
10/25/2020,NC,1807,33569,1148,0,13
10/25/2020,ND,845,897,272,12,0
10/25/2020,NE,705,2446,436,16,4
10/25/2020,NH,90,2414,23,1,0
10/25/2020,NJ,1129,44859,868,25,4
10/25/2020,NM,872,8739,264,70,5
10/25/2020,NV,891,3271,493,0,5
10/25/2020,NY,1632,119198,1015,0,12
10/25/2020,OH,2309,47379,1338,89,0
10/25/2020,OK,1051,0,924,26,4
10/25/2020,OR,362,3746,197,0,0
10/25/2020,PA,1666,14920,1104,0,12
10/25/2020,PR,1223,0,370,0,7
10/25/2020,RI,0,0,140,0,0
10/25/2020,SC,1337,25993,725,12,9
10/25/2020,SD,1062,1188,366,58,9
10/25/2020,TN,3500,38096,1094,15,31
10/25/2020,TX,4304,47743,5206,0,48
10/25/2020,UT,1765,6937,313,52,4
10/25/2020,VA,999,20271,979,65,1
10/25/2020,VI,0,0,,0,0
10/25/2020,VT,30,907,3,0,0
